名称,评分
异形帝国 Alien Nation,5.7
飞碟入侵地球 Earth vs. the Flying Saucers,5.9
黑洞 The Black Hole,5.7
火星人入侵记 Invaders from Mars,6.0
恶魔星球 Terrore nello spazio,5.4
五重奏 Quintet,6.1
在地心拦截 DeepStar Six,5.7
宇宙访客 It Came From Outer Space,6.0
核潜艇 The Atomic Submarine,5.1
细菌浩劫 Warning Sign,5.7
当世界毁灭时 When Worlds Collide,NA
异形帝国 Alien Nation,5.7
巨人：福宾计划 Colossus: The Forbin Project,NA
天才除草人2 Lawnmower Man 2: Beyond Cyberspace,5.3
不是这个星球的 Not of This Earth,5.6
2019：纽约陷落之后 2019 - Dopo la caduta di New York,6.4
登陆月球 Destination Moon,7.1
太空第一人 First Man Into Space,5.6
原子怪兽 The Beast from 20000 Fathoms,6.8
海滨 On the Beach,7.4
霹雳雄鹰 Moon 44,5.5
金星怪兽 20 Million Miles to Earth,6.4
九宵云外 Outland,6.2
博命 These Are the Damned,6.5
火星大接触 Invaders from Mars,6.1
萨杜斯 Zardoz,7.1
鲁宾逊太空历险 Robinson Crusoe on Mars,6.1
黎明前的野兽 Equinox,5.9
大战螃蟹魔王 Attack of the Crab Monsters,4.9
异星兄弟 The Brother from Another Planet,6.9
